user_id,browser,operating_system,screen_resolution,language
1,Chrome,Windows,1920x1080,en-US
2,Firefox,MacOS,1440x900,es-ES
3,Safari,iOS,1366x768,fr-FR
4,Edge,Windows,2560x1440,de-DE
5,Chrome,Linux,1920x1080,zh-CN
6,Firefox,Windows,1366x768,en-US
7,Safari,MacOS,1440x900,es-ES
8,Edge,iOS,2560x1440,fr-FR
9,Chrome,Android,1920x1080,de-DE
10,Firefox,Linux,1920x1080,en-US
11,Safari,Windows,1440x900,es-ES
12,Edge,MacOS,1366x768,fr-FR
13,Chrome,iOS,2560x1440,de-DE
14,Firefox,Windows,1920x1080,zh-CN
15,Safari,Linux,1366x768,en-US
16,Edge,Windows,1440x900,es-ES
17,Chrome,MacOS,2560x1440,fr-FR
18,Firefox,iOS,1920x1080,de-DE
19,Safari,Android,2560x1440,en-US
20,Edge,Linux,1920x1080,es-ES
